Name,Area code,Time Zone
795,795,NA
796,796,NA
797,797,NA
798,798,NA
799,799,NA
800,800,EST
801,801,M
802,802,EST
803,803,EST
804,804,EST
805,805,PST
806,806,CST
807,807,ESTCST
808,808,(UTCST-10)
809,809,EST
810,810,EST
811,811,NA
812,812,ESTCST
813,813,EST
814,814,EST
815,815,CST
816,816,CST
817,817,CST
818,818,PST
819,819,EST
820,820,PST
821,821,NA
822,822,EST
823,823,NA
824,824,NA
825,825,M
826,826,NA
827,827,NA
828,828,EST
829,829,EST
830,830,CST
831,831,PST
832,832,CST
833,833,EST
834,834,NA
835,835,NA
836,836,NA
837,837,NA
838,838,EST
839,839,EST
840,840,EST
841,841,NA
842,842,NA
843,843,EST
844,844,EST
845,845,EST
846,846,NA
847,847,CST
848,848,EST
849,849,EST
850,850,ESTCST
851,851,NA
852,852,NA
853,853,NA
854,854,EST
855,855,EST
856,856,EST
857,857,EST
858,858,PST
859,859,EST
860,860,EST
861,861,NA
862,862,EST
863,863,EST
864,864,EST
865,865,EST
866,866,EST
867,867,CSTMPST
868,868,A
869,869,A
870,870,CST
871,871,NA
872,872,CST
873,873,EST
874,874,NA
875,875,NA
876,876,EST
877,877,EST
878,878,EST
879,879,NA
880,880,NA
881,881,NA
882,882,NA
883,883,NA
884,884,NA
885,885,NA
886,886,NA
887,887,NA
888,888,EST
889,889,NA
890,890,NA
891,891,NA
892,892,NA
893,893,NA
894,894,NA
895,895,NA
896,896,NA
897,897,NA
898,898,NA
899,899,NA
900,900,EST
901,901,CST
902,902,A
903,903,CST
904,904,EST
905,905,EST
906,906,ESTCST
907,907,(UTCST-9)
908,908,EST
909,909,PST
910,910,EST
911,911,NA
912,912,EST
913,913,CST
914,914,EST
915,915,CSTM
916,916,PST
917,917,EST
918,918,CST
919,919,EST
920,920,CST
921,921,NA
922,922,NA
923,923,NA
924,924,NA
925,925,PST
926,926,NA
927,927,NA
928,928,M
929,929,EST
930,930,EST
931,931,ESTCST
932,932,NA
933,933,NA
934,934,EST
935,935,NA
936,936,CST
937,937,EST
938,938,CST
939,939,A
940,940,CST
941,941,EST
942,942,NA
943,943,NA
944,944,NA
945,945,NA
946,946,NA
947,947,EST
948,948,NA
949,949,PST
950,950,NA
951,951,PST
952,952,CST
953,953,NA
954,954,EST
955,955,NA
956,956,CST
957,957,NA
958,958,NA
959,959,EST
960,960,NA
961,961,NA
962,962,NA
963,963,NA
964,964,NA
965,965,NA
966,966,NA
967,967,NA
968,968,NA
969,969,NA
970,970,M
971,971,PST
972,972,CST
973,973,EST
974,974,NA
975,975,CST
976,976,NA
977,977,NA
978,978,EST
979,979,CST
980,980,EST
981,981,NA
982,982,NA
983,983,NA
984,984,EST
985,985,CST
986,986,PST
987,987,NA
988,988,NA
989,989,EST
990,990,NA
991,991,NA
992,992,NA
993,993,NA
994,994,NA
995,995,NA
996,996,NA
997,997,NA
998,998,NA
999,999,NA
